site,title,title_en,year,reviewer,review,review_length,rating
watcha,카터,Carter,2022,신주쿠상어,조카터!,4,1.0
watcha,카터,Carter,2022,세리,어린 시절부터 카메라 감독의 꿈을 키워왔으나 끝끝내 카메라만은 가지지 못했던 사람이 몇십 년간 이론만 공부하던 중 마침내 카메라를 손에 쥐게되고 자신이 알고 있는 모든 촬영기법을 쓰고야 말겠다는 강박과 집착에 빠져 만들어낸 쓰레기 습작 같다,134,0.5
watcha,카터,Carter,2022,뚱이에요,"원테이크를 만만하게 보면 일어나는 참사. 눈 뜨고 보기 힘든 수준의 편집, 어설픈 세트와 VFX 그리고 현란한 카메라 워킹에 대한 강박과 착각으로 가득하다. 노력은 하는데 효율은 전혀 안나오니, 분노보단 동정심만.",119,1.0
watcha,카터,Carter,2022,무비신,"아쉬움이 남는 지점이 많이 있지만, 신박한 액션만은 기억에.",33,2.0
watcha,카터,Carter,2022,윤제아빠,지랄발광 대환장 '아몰라 파티' . . #꽤나고생했을배우들에게별하나 #원테이크이어붙이느라개고생한 #씨지팀과편집팀에별하나를바침 #참신함도신선함도정도껏해야지 #그래도또라이로확실히인지됐네 #러닝타임내내미치게정신없는데 #시간은안가는마법같은체험까지,133,2.0
watcha,카터,Carter,2022,민호타우르스,정병길 감독한테 맨 처음 '하드코어 헨리' 보여준 사람이 제일 잘못했다.,40,1.5
watcha,카터,Carter,2022,영화보고 밥먹고 커피마시고 산책해요,"재미는 없고, 멀미만 날 것 카터..ㅠ  #엇!! 카터가 주원이였어???? 대체 무슨일이 있었던거야..ㄷㄷㄷ",60,1.5
watcha,카터,Carter,2022,진태,얼탱이 없어서 오히려 재밌네 ㅋㅋㅋ 가끔은 막 나가는 작품을 미워할 수가 없다.,44,3.0
watcha,카터,Carter,2022,송부귀영화,감독이 헐리우드의 문을 두드리기 위해 쓴 이력서. 쓸 수 있는 스킬을 모두 집어넣고 제출할 용도로 만든 영화라 스토리보다는 비쥬얼에 모든 것들 쏟아부었다  기생충은 지루한 영화라고 했던 바후발리의 감독도 이영화엔 기립박수칠 듯,126,2.5
watcha,카터,Carter,2022,지예,이건 상상도 '안'한 액션임. 첫 목욕탕 시퀀스부터 경악과 경이의 사이를 넘나듬. 일반적인 영화 화질이 아니라 고프로나 드론으로 찍은 게임 느낌. 태권도 차vs오토바이군단 부터는 좀 여러의미로 어지러워서 무념무상이다. 그래도 한국에서 이 정도의 순도 높은 액션은 희귀하여 신선했는데 스토리가 뒷목에 칼집박고 앉았네. 하.. 뭘 베끼고 싶으면 티내지 말고 잘 짜집던가. 능력이 안되면 욕심을 덜던가. 내 귀의 도청장치가 컨셉인건지 바이러스가 메인인건지. 거기에 CIA의 웃기는 짬뽕이란... 도대체 또 뭐가 또 부족해서 북한을 끌어온단 말이야? 차라리 핵을 터트려. 뭘 위한 액션이였냐. 소중하다는 애는 짐짝처럼 잘만 던지드만. 분통터지네.,357,2.0
watcha,카터,Carter,2022,Dh,"악녀가 있었고.. 여기엔 악놈이 된 각시탈이 있다.. 거 동무, 여러모로 아찔하다우 #쉴새없이 #몰아치는 #뇌절 액션 #사운드 킹받네",74,1.5
watcha,카터,Carter,2022,주령,정말 재미없는 액션성만 강조해둔 B급 똥겜을 플레이한 느낌  뚝뚝 끊기는 롱테이크 연출이 강점으로 내세웠던 액션씬마저 방해하고 있다.  편집도 CG도 외국어 연기도 어딘가 미완성의 냄새가 풀풀 풍긴다. 보면서 '한 단계 편집이 덜 들어갔나?' 할 정도,140,1.5
watcha,카터,Carter,2022,다솜땅,"쉼 없이 몰아치는 액션이 드론 영상이라서 많이 어지럽다… 그래픽과 섞인 장면들이, 생각보다 별로라…ㅋ 그래도 영상이 끊이지 않고 계속 주인공 따라다니는거.. 신선했어..ㅋ #22.8.9 (893) #19000시간",118,3.5
watcha,카터,Carter,2022,ode,액션 아이디어가 아직도 이렇게나 많이 남아 있었다니!,29,3.5
watcha,카터,Carter,2022,캡틴부메랑,실험이 하고 싶었으면 자기 돈으로 하고 세상에는 비밀로 하시지 그랬어요,39,0.5
